"Ano";"Mês";"Código da Função";"Função";"Código de Sub-função";"Sub-função";"Código de Programa";"Programa";"Código da Ação";"Ação";"Código da Fonte";"Fonte";"Dotação Inicial";"Dotação Atualizada";"Empenhado";"Liquidado";"Pago"
"2024";"0";"12  ";"EDUCAÇÃO                                               ";"365 ";"EDUCAÇÃO INFANTIL                                                                                                       ";"1247";"PROMOÇÃO E FORTALECIMENTO DA POLÍTICA DA PRIMEIRA INFÂNCIA                                                              ";"2113";"APOIO À PRIMEIRA INFÂNCIA                                                                                                                                                                               ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"04  ";"ADMINISTRAÇÃO                                          ";"126 ";"TECNOLOGIA DA INFORMAÇÃO                                                                                                ";"2123";"MELHORIA DA QUALIDADE DOS SERVIÇOS DE TIC E TRANSFORMAÇÃO DIGITAL DOS SERVIÇOS E PROCESSOS DA PCR                       ";"2520";"MELHORIA E MANUTENÇÃO DOS SISTEMAS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO                                                                                                                            ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"15  ";"URBANISMO                                              ";"122 ";"ADMINISTRAÇÃO GERAL                                                                                                     ";"2161";"GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS                                                         ";"2723";"APOIO ADMINISTRATIVO ÀS AÇÕES DA UNIDADE ORÇAMENTÁRIA                                                                                                                                                   ";"0501";"OUTROS RECURSOS NÃO VINCULADOS                         ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"12  ";"EDUCAÇÃO                                               ";"365 ";"EDUCAÇÃO INFANTIL                                                                                                       ";"1247";"PROMOÇÃO E FORTALECIMENTO DA POLÍTICA DA PRIMEIRA INFÂNCIA                                                              ";"2179";"AMPLIAÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO INFANTIL                                                                                                                                                        ";"0540";"TRANSFERÊNCIAS DO FUNDEB - IMPOSTOS E TRANSFERÊNCIAS DE";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"04  ";"ADMINISTRAÇÃO                                          ";"122 ";"ADMINISTRAÇÃO GERAL                                                                                                     ";"3101";"GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ";"2048";"ENCARGOS GERAIS COMUNS AOS DIVERSOS ÓRGÃOS                                                                                                                                                              ";"0753";"RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES         ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"10  ";"SAÚDE                                                  ";"302 ";"ASSISTÊNCIA HOSPITALAR E AMBULATORIAL                                                                                   ";"1238";"FORTALECIMENTO E QUALIFICAÇÃO DA ATENÇÃO À SAÚDE DE MÉDIA E ALTA COMPLEXIDADE                                           ";"2883";"GARANTIA DA OFERTA DE PROCEDIMENTOS ATRAVÉS DA REDE COMPLEMENTAR                                                                                                                                        ";"0602";"TRANSF. FUNDO A FUNDO SUS GOV. FED. - BL. MANUTENÇÃO - ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"10  ";"SAÚDE                                                  ";"302 ";"ASSISTÊNCIA HOSPITALAR E AMBULATORIAL                                                                                   ";"1238";"FORTALECIMENTO E QUALIFICAÇÃO DA ATENÇÃO À SAÚDE DE MÉDIA E ALTA COMPLEXIDADE                                           ";"2085";"GARANTIA DA OFERTA DE PROCEDIMENTOS ATRAVÉS DA REDE PRÓPRIA                                                                                                                                             ";"0621";"TRANSF. FUNDO A FUNDO SUS PROV. DO GOVERNO ESTADUAL    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"09  ";"PREVIDÊNCIA SOCIAL                                     ";"122 ";"ADMINISTRAÇÃO GERAL                                                                                                     ";"2170";"GESTÃO DE PREVIDÊNCIA SOCIAL - RPPS                                                                                     ";"2094";"GESTÃO DAS AÇÕES DO RPPS                                                                                                                                                                                ";"0802";"RECURSOS VINCULADOS RPPS - TAXA ADMINISTRAÇÃO          ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"27  ";"DESPORTO E LAZER                                       ";"812 ";"DESPORTO COMUNITÁRIO                                                                                                    ";"1226";"PROMOÇÃO DE POLÍTICAS DE INCENTIVO AO ESPORTE E PRÁTICA DE EXERCÍCIO FÍSICO PARA PROMOÇÃO DA SAÚDE                      ";"2529";"AMPLIAÇÃO, REFORMA E MELHORIA DAS INSTALAÇÕES E EQUIPAMENTOS DO GINÁSIO DE ESPORTES GERALDO MAGALHÃES - GERALDÃO                                                                                        ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"04  ";"ADMINISTRAÇÃO                                          ";"846 ";"OUTROS ENCARGOS ESPECIAIS                                                                                               ";"3101";"GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ";"2705";"ENCARGOS COM O FGTS DOS SERVIDORES                                                                                                                                                                      ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"10  ";"SAÚDE                                                  ";"303 ";"SUPORTE PROFILÁTICO E TERAPÊUTICO                                                                                       ";"1233";"MELHORIA DO ACESSO À ASSISTÊNCIA FARMACÊUTICA                                                                           ";"2881";"MANUTENÇÃO DO ADEQUADO SUPRIMENTO DA REDE EM ASSISTÊNCIA FARMACÊUTICA                                                                                                                                   ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"10  ";"SAÚDE                                                  ";"303 ";"SUPORTE PROFILÁTICO E TERAPÊUTICO                                                                                       ";"1233";"MELHORIA DO ACESSO À ASSISTÊNCIA FARMACÊUTICA                                                                           ";"2881";"MANUTENÇÃO DO ADEQUADO SUPRIMENTO DA REDE EM ASSISTÊNCIA FARMACÊUTICA                                                                                                                                   ";"0600";"TRANSF. FUNDO A FUNDO SUS GOV. FED. - BL. MANUTENÇÃO SE";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"19  ";"CIÊNCIA E TECNOLOGIA                                   ";"573 ";"DIFUSÃO DO CONHECIMENTO CIENTÍFICO E TECNOLÓGICO                                                                        ";"1315";"APOIO À INOVAÇÃO E DIFUSÃO DO CONHECIMENTO CIENTÍFICO E TECNOLÓGICO                                                     ";"2049";"DESENVOLVIMENTO DE INSTRUMENTOS DE APOIO À INOVAÇÃO E À DIFUSÃO DO CONHECIMENTO CIENTÍFICO E TECNOLÓGICO                                                                                                ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"04  ";"ADMINISTRAÇÃO                                          ";"128 ";"FORMAÇÃO DE RECURSOS HUMANOS                                                                                            ";"2160";"GESTÃO DAS POLÍTICAS MUNICIPAIS                                                                                         ";"2100";"CAPACITAÇÃO E FORMAÇÃO PROFISSIONAL                                                                                                                                                                     ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"10  ";"SAÚDE                                                  ";"122 ";"ADMINISTRAÇÃO GERAL                                                                                                     ";"2165";"GESTÃO ADMINISTRATIVA DO SISTEMA MUNICIPAL DE SAÚDE                                                                     ";"2617";"APOIO ADMINISTRATIVO ÀS AÇÕES DO FUNDO MUNICIPAL DE SAÚDE                                                                                                                                               ";"0711";"DEMAIS TRANSF. OBRIG. NÃO DECO. DE REPARTI DE RECEITAS ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"28  ";"ENCARGOS ESPECIAIS                                     ";"846 ";"OUTROS ENCARGOS ESPECIAIS                                                                                               ";"3101";"GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ";"9002";"CONTRIBUIÇÕES PARA O PIS/PASEP                                                                                                                                                                          ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
