Ano;Mês;Código da Função;Função;Código de Sub-função;Sub-função;Código de Programa;Programa;Código da Ação;Ação;Código da Fonte;Fonte;Dotação Inicial;Dotação Atualizada;Empenhado;Liquidado;Pago
2026;1;08  ;ASSISTÊNCIA SOCIAL                                     ;244 ;ASSISTÊNCIA COMUNITÁRIA                                                                                                 ;1241;PROMOÇÃO DAS POLÍTICAS DE PREVENÇÃO, TRATAMENTO E REINSERÇÃO SOCIAL AOS USUÁRIOS E DEPENDENTES DE DROGAS                ;2265;IMPLEMENTAÇÃO DE POLÍTICAS DE PREVENÇÃO, TRATAMENTO E REINSERÇÃO SOCIAL DE USUÁRIOS E DEPENDENTES DE DROGAS                                                                                             ;0665;TRANSF. CONV. E INSTRUM. CONGÊNERES ASSISTÊNCIA SOCIAL ;450000.0;450000.0;0.0;0.0;0.0
2026;1;04  ;ADMINISTRAÇÃO                                          ;124 ;CONTROLE INTERNO                                                                                                        ;2164;FORTALECIMENTO DO SISTEMA DE CONTROLE INTERNO                                                                           ;2015;GESTÃO E APERFEIÇOAMENTO DO CONTROLE INTERNO DA ADMINISTRAÇÃO MUNICIPAL                                                                                                                                 ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;13870000.0;13870000.0;1059054.22;1059054.22;885842.85
2026;1;04  ;ADMINISTRAÇÃO                                          ;128 ;FORMAÇÃO DE RECURSOS HUMANOS                                                                                            ;2160;GESTÃO DAS POLÍTICAS MUNICIPAIS                                                                                         ;2100;CAPACITAÇÃO E FORMAÇÃO PROFISSIONAL                                                                                                                                                                     ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;160000.0;160000.0;0.0;0.0;0.0
2026;1;12  ;EDUCAÇÃO                                               ;365 ;EDUCAÇÃO INFANTIL                                                                                                       ;1247;PROMOÇÃO E FORTALECIMENTO DA POLÍTICA DA PRIMEIRA INFÂNCIA                                                              ;1036;EXPANSÃO DA REDE FÍSICA DO ENSINO INFANTIL                                                                                                                                                              ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;25000000.0;25000000.0;1502528.39;0.0;0.0
2026;1;04  ;ADMINISTRAÇÃO                                          ;122 ;ADMINISTRAÇÃO GERAL                                                                                                     ;2161;GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS                                                         ;2017;GERENCIAMENTO DAS JUNTAS DE SERVIÇO MILITAR                                                                                                                                                             ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;10000.0;10000.0;0.0;0.0;0.0
2026;1;12  ;EDUCAÇÃO                                               ;367 ;EDUCAÇÃO ESPECIAL                                                                                                       ;1206;ORGANIZAÇÃO EFICAZ DO ENSINO E DA APRENDIZAGEM                                                                          ;2182;IMPLEMENTAÇÃO DE MECANISMOS DE INCLUSÃO ESC. PARA ESTUDANTES COM DEFICIÊNCIAS E/OU DOENÇAS RARAS. (EP)                                                                                                  ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;15135000.0;15135000.0;0.0;0.0;0.0
2026;1;14  ;DIREITOS DA CIDADANIA                                  ;422 ;DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS                                                                               ;2160;GESTÃO DAS POLÍTICAS MUNICIPAIS                                                                                         ;2282;COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS POLÍTICAS DE ORDEM PÚBLICA E SEGURANÇA                                                                                                                           ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;110660000.0;110660000.0;10992053.82;10992053.82;9021913.41
2026;1;23  ;COMÉRCIO E SERVIÇOS                                    ;695 ;TURISMO                                                                                                                 ;1213;PROMOÇÃO DO TURISMO NO RECIFE                                                                                           ;2862;ESTRUTURAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS PÚBLICOS COM POTENCIAL TURÍSTICO                                                                                                                              ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;755000.0;755000.0;0.0;0.0;0.0
2026;1;06  ;SEGURANÇA PÚBLICA                                      ;422 ;DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS                                                                               ;1252;PROMOÇÃO DOS DIREITOS HUMANOS, CIDADANIA E IGUALDADE ÉTNICO-RACIAL                                                      ;2147;SEGURANÇA NOS LOCAIS PÚBLICOS SOB JURISDIÇÃO DA CIDADE DO RECIFE                                                                                                                                        ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;3780000.0;3780000.0;3104916.8;0.0;0.0
2026;1;11  ;TRABALHO                                               ;122 ;ADMINISTRAÇÃO GERAL                                                                                                     ;2161;GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS                                                         ;2723;APOIO ADMINISTRATIVO ÀS AÇÕES DA UNIDADE ORÇAMENTÁRIA                                                                                                                                                   ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;2000000.0;2000000.0;0.0;0.0;0.0
