"Ano";"Mês";"Poder";"Código órgão";"Órgão setorial";"Código da unidade";"Unidade gestora";"Código da despesa";"Categoria da despesa";"Código do grupo de despesa";"Grupo de despesa";"Código da modalidade";"Modalidade";"Dotação atualizada";"Dotação inicial";"Empenhado";"Liquidado";"Pago"
"2024";"3";"EXECUTIVO                                         ";"59";"SECRETARIA DE DESENV. SOCIAL, DIREITOS HUMANOS, JUVENTUDE E POLÍTICAS SOBRE DROGAS - ADM. SUPERVISIO";"59.05";"FUNDO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA                                                        ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"50  ";"TRANSFERÊNCIAS À INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS                                                                                              ";"";"";"3525249.87";"3525249.87";"3525249.87"
"2024";"11";"EXECUTIVO                                         ";"24";"CONTROLADORIA GERAL DO MUNICÍPIO                                                                    ";"24.01";"CONTROLADORIA GERAL DO MUNICÍPIO - ADMINISTRAÇÃO DIRETA                                             ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-76303.8";"0.0";"-22650.66";"328913.64";"183421.75"
"2024";"11";"EXECUTIVO                                         ";"24";"CONTROLADORIA GERAL DO MUNICÍPIO                                                                    ";"24.01";"CONTROLADORIA GERAL DO MUNICÍPIO - ADMINISTRAÇÃO DIRETA                                             ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"0.0";"0.0";"999814.98";"999814.98";"1199160.51"
"2024";"4";"EXECUTIVO                                         ";"69";"SECRETARIA DE DESENVOLVIMENTO SUSTENTÁVEL E MEIO AMBIENTE - ADMINISTRAÇÃO SUPERVISIONADA            ";"69.01";"FUNDO MUNICIPAL DE MEIO AMBIENTE - FMMA                                                             ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"0.0";"0.0";"121023.29";"121023.29";"0.0"
"2024";"5";"EXECUTIVO                                         ";"35";"SECRETARIA DE TURISMO E LAZER                                                                       ";"35.01";"SECRETARIA DE TURISMO E LAZER - ADMINISTRAÇÃO DIRETA                                                ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"";"";"234364.31";"234364.31";"210857.03"
"2024";"1";"EXECUTIVO                                         ";"64";"SECRETARIA DE POLÍTICA URBANA E LICENCIAMENTO - ADMINISTRAÇÃO SUPERVISIONADA                        ";"64.05";"FUNDO DE GESTÃO DO TRÂNSITO E TRANSPORTE URBANO                                                     ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"380000.0";"380000.0";"";"";""
"2024";"4";"EXECUTIVO                                         ";"69";"SECRETARIA DE DESENVOLVIMENTO SUSTENTÁVEL E MEIO AMBIENTE - ADMINISTRAÇÃO SUPERVISIONADA            ";"69.01";"FUNDO MUNICIPAL DE MEIO AMBIENTE - FMMA                                                             ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-81441.95";"0.0";"6808.93";"2000.0";"2950.51"
"2024";"5";"EXECUTIVO                                         ";"35";"SECRETARIA DE TURISMO E LAZER                                                                       ";"35.01";"SECRETARIA DE TURISMO E LAZER - ADMINISTRAÇÃO DIRETA                                                ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-48000.0";"0.0";"2229212.57";"6142098.39";"3877036.57"
"2024";"1";"EXECUTIVO                                         ";"62";"SECRETARIA DE CULTURA - ADMINISTRAÇÃO SUPERVISIONADA                                                ";"62.01";"FUNDAÇÃO DE CULTURA CIDADE DO RECIFE - FCCR                                                         ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"99545000.0";"99545000.0";"46260552.05";"1495757.77";"1331971.57"
"2024";"9";"EXECUTIVO                                         ";"04";"GABINETE DE INOVAÇÃO URBANA                                                                         ";"04.01";"GABINETE DE INOVAÇÃO URBANA - ADMINISTRAÇÃO DIRETA                                                  ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"0.0";"0.0";"1229530.68";"234701.76";"246057.2"
