Ano;Mês;Poder;Código órgão;Órgão setorial;Código da unidade;Unidade gestora;Código da despesa;Categoria da despesa;Código do grupo de despesa;Grupo de despesa;Código da modalidade;Modalidade;Dotação atualizada;Dotação inicial;Empenhado;Liquidado;Pago
2026;1;EXECUTIVO                                         ;14;SECRETARIA DE EDUCAÇÃO                                                                              ;14.01;SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA                                                       ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;91  ;APLICAÇÃO DIRETA DECORRENTE DE OPERAÇÃO ENTRE ÓRGÃOS, FUNDOS E ENTIDADES INTEGRANTES DOS ORÇAMENTOS FISCAL E DE SEGURIDADE SOCIAL                       ;5000000.0;5000000.0;;;
2026;4;EXECUTIVO                                         ;11;SECRETARIA DE ESPORTES                                                                              ;11.01;SECRETARIA DE ESPORTES - ADMINISTRAÇÃO DIRETA                                                       ;4;DESPESAS DE CAPITAL                                                                                 ;4;INVESTIMENTOS                                                                                       ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;6141716.62;0.0;4529520.82;2377898.77;1993203.05
2026;4;EXECUTIVO                                         ;24;CONTROLADORIA GERAL DO MUNICÍPIO                                                                    ;24.01;CONTROLADORIA GERAL DO MUNICÍPIO - ADMINISTRAÇÃO DIRETA                                             ;3;DESPESAS CORRENTES                                                                                  ;1;PESSOAL E ENCARGOS SOCIAIS                                                                          ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;107104.82;0.0;0.0;0.0;172806.35
2026;1;EXECUTIVO                                         ;50;SECRETARIA DE INFRAESTRUTURA - ADMINISTRAÇÃO SUPERVISIONADA                                         ;50.10;AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA - EMLURB                                                   ;3;DESPESAS CORRENTES                                                                                  ;1;PESSOAL E ENCARGOS SOCIAIS                                                                          ;91  ;APLICAÇÃO DIRETA DECORRENTE DE OPERAÇÃO ENTRE ÓRGÃOS, FUNDOS E ENTIDADES INTEGRANTES DOS ORÇAMENTOS FISCAL E DE SEGURIDADE SOCIAL                       ;10000.0;10000.0;;;
2026;2;EXECUTIVO                                         ;62;SECRETARIA DE CULTURA - ADMINISTRAÇÃO SUPERVISIONADA                                                ;62.02;FUNDO DE INCENTIVO À CULTURA - FIC                                                                  ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;;;1016722.4;814504.8;823671.95
2026;4;EXECUTIVO                                         ;59;SECRETARIA DE ASSISTÊNCIA SOCIAL E COMBATE À FOME - ADM. SUPERVISIONADA                             ;59.01;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL - FMAS                                                        ;4;DESPESAS DE CAPITAL                                                                                 ;4;INVESTIMENTOS                                                                                       ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;807622.96;0.0;331189.0;231979.39;237280.99
2026;4;EXECUTIVO                                         ;07;GABINETE DE PROTEÇÃO E DEFESA DOS ANIMAIS                                                           ;07.01;GABINETE DE PROTEÇÃO E DEFESA DOS ANIMAIS - ADMINISTRAÇÃO DIRETA                                    ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;1611488.9;0.0;1488417.8;123914.45;107023.0
2026;4;EXECUTIVO                                         ;11;SECRETARIA DE ESPORTES                                                                              ;11.01;SECRETARIA DE ESPORTES - ADMINISTRAÇÃO DIRETA                                                       ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;-1539146.0;0.0;56805.86;632740.61;846539.63
2026;2;EXECUTIVO                                         ;61;SECRETARIA DE ADMINISTRAÇÃO - ADMINISTRAÇÃO SUPERVISIONADA                                          ;61.01;AUTARQUIA MUNICIPAL DE PREVIDÊNCIA E ASSISTÊNCIA À SAÚDE DOS SERVIDORES                             ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;9579650.28;0.0;11504926.84;10694169.24;10602550.65
2026;1;EXECUTIVO                                         ;34;SECRETARIA DE DESENVOLVIMENTO URBANO E LICENCIAMENTO                                                ;34.01;SECRETARIA DE DESENVOLVIMENTO URBANO E LICENCIAMENTO	 - ADMINISTRAÇÃO DIRETA                        ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;13861500.0;13860000.0;3938116.19;741756.98;741756.98
